Ticker,Closing Price,200 SMA,Gap,RSI,MACD,MACD Signal,Analysis
IONQ,17.81,8.98339999999998,98.25455840773024,89.13661671029145,2.005811144650126,1.3608589480998743,"Monitor

Reasons:
- Caution: RSI indicates overbought condition
- Risk: Extended gap above 200 SMA
Strength Indicators:
- MACD above signal line
Warnings:
- Stock significantly above 200 SMA (Gap: 98.3%)
- Extremely overbought (RSI: 89.1)"
LULU,307.54,339.9350749999992,-9.529783003415945,70.32295077932051,8.299782091326563,5.984607849709793,"Buy Put

Reasons:
- Primary: RSI indicates overbought condition
- Supporting: Trading below 200 SMA
Strength Indicators:
- MACD above signal line
Warnings:
- Trading below 200 SMA (Gap: -9.5%)
- Overbought (RSI: 70.3)"
CDLX,4.04,7.817174999999989,-48.31892595470863,69.73366603294473,0.19642757723160775,0.1700611600555654,"No Action

Reasons:
- No clear signal
Strength Indicators:
- RSI in neutral zone (69.7)
- MACD above signal line
Warnings:
- Trading below 200 SMA (Gap: -48.3%)"
SEAT,3.95,5.094449999999987,-22.464642895700017,55.62608776119883,0.07004908313205638,0.0668438689762068,"No Action

Reasons:
- No clear signal
Strength Indicators:
- RSI in neutral zone (55.6)
- MACD above signal line
Warnings:
- Trading below 200 SMA (Gap: -22.5%)"
INFA,26.4,29.137200000000025,-9.394176516618014,56.770902854678674,0.3823741093869977,0.3800432124873107,"No Action

Reasons:
- No clear signal
Strength Indicators:
- RSI in neutral zone (56.8)
- MACD above signal line
Warnings:
- Trading below 200 SMA (Gap: -9.4%)"
FBIOP,6.31,11.912017000000017,-47.02828244788443,71.46945740689476,0.1642452393898468,0.06440531196475514,"Buy Put

Reasons:
- Primary: RSI indicates overbought condition
- Supporting: Trading below 200 SMA
Strength Indicators:
- MACD above signal line
Warnings:
- Trading below 200 SMA (Gap: -47.0%)
- Overbought (RSI: 71.5)"
TBLA,3.57,3.8584749999999968,-7.47639935466725,54.584619048791104,0.0876975310154191,0.07190261914920158,"No Action

Reasons:
- No clear signal
Strength Indicators:
- RSI in neutral zone (54.6)
- MACD above signal line
Warnings:
- Trading below 200 SMA (Gap: -7.5%)"
MXL,15.64,17.889149999999937,-12.572704684123865,61.33931174855176,0.24402939997501605,0.059304004133160025,"No Action

Reasons:
- No clear signal
Strength Indicators:
- RSI in neutral zone (61.3)
- MACD above signal line
Warnings:
- Trading below 200 SMA (Gap: -12.6%)"
LZ,7.11,9.093774999999996,-21.81464793223932,71.42907574315343,0.16088585138327627,0.1329416047440519,"Buy Put

Reasons:
- Primary: RSI indicates overbought condition
- Supporting: Trading below 200 SMA
Strength Indicators:
- MACD above signal line
Warnings:
- Trading below 200 SMA (Gap: -21.8%)
- Overbought (RSI: 71.4)"
IART,19.32,29.119249999999862,-33.65213733183344,59.34976654645168,0.308361014034773,0.31197255497915927,"No Action

Reasons:
- No clear signal
Strength Indicators:
- RSI in neutral zone (59.3)
Warnings:
- Trading below 200 SMA (Gap: -33.7%)
- MACD below signal line"
